Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,,
ci.gallup.nm.us,,Local Government,,rejected term,"City of Gallup, NM -- Note added 12/5/13 19:05",,6/6/13 18:08,,
ci.gilbert.az.us,,Local Government,,Deprecated,"Redirects to http://www.gilbertaz.gov/, the official town website. -- Note added 8/26/13 18:47",,6/6/13 18:08,,
ci.glendale.az.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120815024846/http://www.ci.glendale.az.us/  -- Note added 12/5/13 19:09,,12/5/13 19:09,,
ci.green-bay.wi.us,,Local Government,,rejected term,"City of Green Bay, WI -- Note added 4/2/14 12:24",,6/6/13 18:08,,
ci.gulfport.ms.us,,Local Government,,rejected term,"City of Gulfport, MS -- Note added 12/5/13 19:11",,6/6/13 18:08,,
ci.happy-valley.or.us,,Local Government,Oregon,Now uses .gov domain,"City of Happy Valley, OR -- Note added 6/13/14 7:55",http://www.ci.happy-valley.or.us/,6/6/13 18:08,,
ci.hazelwood.mo.us,,Local Government,,Redirected,Redirects to http://www.hazelwoodmo.org/  -- Note added 12/6/13 15:37,,12/6/13 15:37,,
ci.helena.mt.us,,Local Government,,Redirected,Redirects to http://www.helenamt.gov/ so entry no longer needed -- Note added 8/26/13 18:54,,6/6/13 18:08,,
ci.hillsboro.or.us,,Local Government,,rejected term,"City of Hillsboro, OR -- Note added 12/6/13 13:57",,6/6/13 18:08,,
ci.homer.ak.us,,Local Government,,rejected term,Redirects to cityofhomer-ak.gov -- Note added 6/7/13 12:53,,6/6/13 18:08,,
ci.hunts-point.wa.us,,Local Government,,rejected term,"Town of Hunts Point, WA -- Note added 12/5/13 19:12",,6/6/13 18:08,,
ci.huntsville.al.us,,Local Government,,rejected term,Redirect's to the City's Outlook web app @ https://mail.huntsvilleal.gov. City government site is at www.huntsvilleal.gov -- Note added 7/1/13 16:51,,7/1/13 16:50,,
ci.ithaca.ny.us,,Local Government,New York,,,,6/6/13 18:08,,
ci.jackson.wy.us,,Local Government,,Deprecated,Former town website. See historical snapshot at http://web.archive.org/web/20121208074036/http://www.ci.jackson.wy.us/index.cfm?fuseaction=home.  -- Note added 8/13/14 13:07,,6/6/13 18:08,,
ci.jacksonville.nc.us,,Local Government,,Redirected,Redirects to http://www.jacksonvillenc.gov/ so entry no longer needed -- Note added 8/26/13 18:57,,6/6/13 18:08,,
ci.katy.tx.us,,Local Government,,,,,7/26/13 18:30,,
ci.kent.wa.us,,Local Government,,rejected term,Redirects to http://kentwa.gov/ so entry no longer needed -- Note added 8/26/13 19:18,,6/6/13 18:08,,
ci.killeen.tx.us,,Local Government,,Redirected,www redirects to http://www.killeentexas.gov/index.php?section=1 so entry no longer needed -- Note added 8/26/13 19:19,,6/6/13 18:08,,
ci.laguna-niguel.ca.us,,Local Government,,,,,7/31/13 16:41,,
ci.lakewood.co.us,,Local Government,,,,,7/19/13 18:50,,
ci.laramie.wy.us,,Local Government,Wyoming,,,http://ci.laramie.wy.us/,1/13/14 19:27,,
ci.laredo.tx.us,,Local Government,,,,,6/30/15 13:53,,
ci.leesburg.fl.us,,Local Government,,rejected term,"City of Leesburg, FL -- Note added 12/5/13 14:26",,6/6/13 18:08,,
ci.lemon-grove.ca.us,,Local Government,,rejected term,"City of Lemon Grove, CA -- Note added 12/6/13 13:59",,6/6/13 18:08,,
ci.lenoir.nc.us,,Local Government,,,,,7/31/13 13:13,,
ci.los-alamitos.ca.us,,Local Government,,,,,7/31/13 16:42,,
ci.los-altos.ca.us,,Local Government,,rejected term,"City of Los Altos, CA -- Note added 12/6/13 14:00",,6/6/13 18:08,,
ci.maitland.fl.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120517233417/http://www.ci.maitland.fl.us/  -- Note added 12/5/13 19:20,,12/5/13 19:19,,
ci.manchester.ct.us,,Local Government,,Deprecated,Former town website. See historical snaphot at: http://web.archive.org/web/20111129101154/http://www.ci.manchester.ct.us/  -- Note added 12/5/13 19:23,,12/5/13 19:21,,
ci.manistee.mi.us,,Local Government,,Redirected,Redirects to http://www.manisteemi.gov/ so entry no longer needed -- Note added 8/26/13 19:19,,6/6/13 18:08,,
ci.marysville.wa.us,,Local Government,,rejected term,"City of Marysville, WA -- Note added 12/5/13 19:24",,6/6/13 18:08,,
ci.melrose.mn.us,,Local Government,,,,,2/11/14 19:03,,
ci.midland.tx.us,,Local Government,,rejected term,"City of Midland, TX -- Note added 12/5/13 19:25",,6/6/13 18:08,,
ci.millbrae.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.milwaukie.or.us,,Local Government,,Redirected,Redirects to http://www.milwaukieoregon.gov/ so entry no longer needed -- Note added 8/26/13 19:20,,6/6/13 18:08,,
ci.modesto.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.monroe.wa.us,,Local Government,,Redirected,Redirects to http://www.monroewa.gov/ so entry no longer needed -- Note added 8/26/13 19:21,,6/6/13 18:08,,
ci.montclair.ca.us,,Local Government,,,,,7/31/13 16:43,,
ci.moorpark.ca.us,,Local Government,,rejected term,"City of Moorpark, CA -- Note added 12/6/13 14:01",,6/6/13 18:08,,
ci.moreno-valley.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.morristown.mn.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120716214541/http://www.ci.morristown.mn.us/  -- Note added 12/5/13 19:29,,6/6/13 18:08,,
ci.moses-lake.wa.us,,Local Government,,,,,7/31/13 13:13,,
ci.mount-arlington.nj.us,,Local Government,,Deprecated,Former borough website. See historical snapshot at: http://web.archive.org/web/20120118020728/http://www.ci.mount-arlington.nj.us/  -- Note added 12/5/13 20:01,,12/5/13 20:01,,
ci.mount-holly.nc.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120513013605/http://www.ci.mount-holly.nc.us/  -- Note added 12/5/13 20:03,,12/5/13 20:03,,
ci.mount-vernon.wa.us,,Local Government,,Redirected,Redirects to http://www.mountvernonwa.gov/ so entry no longer needed. -- Note added 8/27/13 12:41,,6/6/13 18:08,,
ci.muskego.wi.us,,Local Government,,,,,7/31/13 16:44,,
ci.nampa.id.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20130517001305/http://www.ci.nampa.id.us/  -- Note added 12/5/13 20:09,,12/5/13 20:09,,
ci.new-holstein.wi.us,,Local Government,,rejected term,Redirects to http://ci.newholstein.wi.gov/  -- Note added 9/19/13 19:43,,8/27/13 12:41,,
ci.new-richmond.wi.us,,Local Government,,rejected term,Redirects to http://www.newrichmondwi.gov/ so entry no longer needed -- Note added 8/27/13 12:43,,6/6/13 18:08,,
ci.newton.ms.us,,Local Government,,,See entry for newtonchamberofcommerce.com -- Note added 7/31/13 13:32,,7/31/13 13:15,,
ci.north-bend.wa.us,,Local Government,,rejected term,"City of North Bend, WA -- Note added 12/5/13 20:10",,6/6/13 18:08,,
ci.orinda.ca.us,,Local Government,,,,,7/31/13 17:11,,
ci.palm-coast.fl.us,,Local Government,,,,,7/31/13 13:31,,
ci.parker.az.us,,Local Government,,Deprecated,Redirects to http://www.townofparkerarizona.com/  -- Note added 12/11/13 14:28,,12/11/13 14:27,,
ci.pekin.il.us,,Local Government,Illinois,Deprecated,Requires the www. Without www redirects to the city's Outlook mail server for employees. -- Note added 11/22/13 14:32,http://www.ci.pekin.il.us/,6/6/13 18:08,,
ci.pensacola.fl.us,,Local Government,,,,,7/31/13 13:38,,
ci.pinetop-lakeside.az.us,,Local Government,,rejected term,"Town of Pinetop-Lakeside, AZ -- Note added 12/6/13 13:48",,6/6/13 18:08,,
ci.placerville.ca.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120106055903/http://ci.placerville.ca.us/  -- Note added 12/5/13 20:11,,12/5/13 20:11,,
ci.pleasanton.ca.us,,Local Government,,rejected term,Redirects to http://www.cityofpleasantonca.gov/ so entry no longer needed -- Note added 8/27/13 12:44,,6/6/13 18:08,,
ci.port-washington.wi.us,,Local Government,,,,,12/6/13 14:30,,
ci.portage.wi.us,,Local Government,,Redirected,Redirects to http://www.portagewi.gov/ so entry no longer needed -- Note added 8/27/13 12:44,,6/6/13 18:08,,
ci.pullman.wa.us,,Local Government,,rejected term,"City of Pullman, WA -- Note added 12/6/13 15:19",,6/6/13 18:08,,
ci.quitman.ms.us,,Local Government,,rejected term,Domain no longer resolves. The change happened sometime after January 2012: https://web.archive.org/web/20130628061206/http://www.ci.quitman.ms.us/  -- Note added 8/13/14 13:08,,6/6/13 18:08,,
ci.rainier.wa.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120310224712/http://www.ci.rainier.wa.us/  -- Note added 12/5/13 20:13,,12/5/13 20:13,,
ci.redlands.ca.us,,Local Government,,,,,7/31/13 18:26,,
ci.ridgecrest.ca.us,,Local Government,,rejected term,Redirects to http://ridgecrest-ca.gov/ so entry no longer needed -- Note added 8/27/13 12:45,,6/6/13 18:08,,
ci.roseburg.or.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20110807110938/http://www.ci.roseburg.or.us/  -- Note added 12/5/13 20:15,,12/5/13 20:15,,
ci.sahuarita.az.us,,Local Government,,rejected term,Redirects to http://sahuaritaaz.gov/ so entry no longer needed -- Note added 8/27/13 12:45,,6/6/13 18:08,,
ci.salem.va.us,,Local Government,,rejected term,"City of Salem, VA -- Note added 12/5/13 20:16",,6/6/13 18:08,,
ci.salisbury.nc.us,,Local Government,,rejected term,"City of Salisbury, NC -- Note added 12/5/13 20:17",,6/6/13 18:08,,
ci.sausalito.ca.us,,Local Government,California,,,,6/6/13 18:08,,
ci.savannah.ga.us,,Local Government,,rejected term,"City of Savannah, GA -- Note added 12/5/13 20:33",,6/6/13 18:08,,
ci.seabrook.tx.us,,Local Government,,rejected term,Redirects to http://www.seabrooktx.gov/ so entry no longer needed -- Note added 8/27/13 12:46,,6/6/13 18:08,,
ci.sequim.wa.us,,Local Government,,rejected term,"City of Sequim, WA -- Note added 12/5/13 20:35",,6/6/13 18:08,,
ci.sherwood.or.us,,Local Government,,Redirected,Redirects to http://www.sherwoodoregon.gov/ so entry no longer needed -- Note added 8/27/13 12:46,,6/6/13 18:08,,
ci.smyrna.ga.us,,Local Government,,,,,7/31/13 13:40,,
ci.springfield.or.us,,Local Government,Oregon,Now uses .gov domain,"City of Springfield, OR -- Note added 6/20/14 9:38",http://www.ci.springfield.or.us/,6/6/13 18:08,,
ci.southlake.tx.us,,Local Government,,,,,6/6/13 18:08,,
ci.ssf.ca.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120626132642/http://www.ci.ssf.ca.us/  -- Note added 12/5/13 20:38,,12/5/13 20:38,,
ci.st-charles.il.us,,Local Government,,Redirected,Redirects to http://www.stcharlesil.gov/ so no longer needed. -- Note added 9/19/13 19:38,,6/6/13 18:08,,
ci.st-george.ut.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20111008170256/http://www.ci.st-george.ut.us/  -- Note added 12/5/13 20:53,,12/5/13 20:51,,
ci.sturgis.mi.us,,Local Government,,rejected term,"City of Sturgis, MI -- Note added 12/5/13 20:53",,6/6/13 18:08,,
ci.summit.nj.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20100109131831/http://www.ci.summit.nj.us/  -- Note added 12/5/13 20:56,,12/5/13 20:56,,
ci.tiburon.ca.us,,Local Government,,,,,7/31/13 18:27,,
ci.tualatin.or.us,,Local Government,,rejected term,Redirects to http://www.tualatinoregon.gov/ so no longer needed. -- Note added 9/19/13 19:40,,6/6/13 18:08,,
ci.tukwila.wa.us,,Local Government,,rejected term,Redirects to http://www.tukwilawa.gov/ -- Note added 9/19/13 19:42,,6/6/13 18:08,,
ci.tuscaloosa.al.us,,Local Government,,,,,6/12/13 17:31,,
ci.two-rivers.wi.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20131104084337/http://www.ci.two-rivers.wi.us/  -- Note added 1/17/14 15:35,,1/17/14 15:35,,
ci.valdese.nc.us,,Local Government,,,,,7/31/13 13:48,,
ci.warrenton.va.us,,Local Government,,rejected term,"Town of Warrenton, VA -- Note added 12/5/13 21:00",,6/6/13 18:08,,
ci.washington.nc.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20120509120922/http://www.ci.washington.nc.us/  -- Note added 12/5/13 21:02,,12/5/13 21:02,,
ci.watsonville.ca.us,,Local Government,,,,,7/31/13 18:28,,
ci.westfield.ma.us,,Local Government,,,,,8/27/13 12:48,,
ci.westminster.ca.us,,Local Government,,rejected term,Redirects to http://www.westminster-ca.gov/  -- Note added 9/19/13 19:44,,6/6/13 18:08,,
ci.windsor.co.us,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20100317104839/http://www.ci.windsor.co.us/  -- Note added 1/17/14 16:06,,1/17/14 16:05,,
ci.yakima.wa.us,,Local Government,,rejected term,Redirects to http://www.yakimawa.gov/  -- Note added 9/19/13 19:44,,6/6/13 18:08,,
cied.org,,Native Sovereign Nation,,,,,6/6/13 18:08,,
citci.com,,Local Government,,,,,7/31/13 18:29,,
citiesandtowns.org,,Local Government,,rejected term,Indiana Assocation of Cities and Towns -- Note added 7/8/13 18:51,,6/6/13 18:08,,
citlink.net/~cedranch,,Native Sovereign Nation,,,,,6/6/13 18:08,,
city.champaign.il.us,,Local Government,,,,,8/27/13 12:49,,
city.jackson.ms.us,,Local Government,,rejected term,"City of Jackson, MS -- Note added 7/8/14 13:18",,6/6/13 18:08,,
city.palo-alto.ca.us,,Local Government,,,,,6/6/13 18:08,,
city.pittsburgh.pa.us,,Local Government,,rejected term,Redirects to http://pittsburghpa.gov/  -- Note added 9/19/13 19:45,,6/6/13 18:08,,
cityofalgona.com,,Local Government,,rejected term,"City of Algona, WA -- Note added 7/19/13 17:51",,6/6/13 18:08,,
cityofartesia.us,,Local Government,California,,,http://cityofartesia.us/,6/6/13 18:08,,
cityofatlanticcity.org,,Local Government,New Jersey,,,http://cityofatlanticcity.org/,6/6/13 18:08,,
cityofbeaumont.com,,Local Government,,rejected term,"City of Beaumont, TX -- Note added 11/10/15 17:47",,11/10/15 17:46,,
cityofbinghamton.com,,Local Government,,rejected term,"City of Binghamton, NY -- Note added 7/22/13 18:03",,6/6/13 18:08,,
cityofbrawley.com,,Local Government,,rejected term,Redirects to http://www.brawley-ca.gov/  -- Note added 9/19/13 19:46,,6/6/13 18:08,,
cityofbryant.org,,Local Government,,,,,7/31/13 13:48,,
cityofcantonsd.com,,Local Government,,,,,7/31/13 18:34,,
cityofcarencro.org,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20080513094642/http://www.cityofcarencro.org/  -- Note added 12/5/13 21:05,,12/5/13 21:05,,
cityofcentre.org,,Local Government,,Deprecated,Redirects to http://www.cityofcentre.com/  -- Note added 12/6/13 14:25,,12/6/13 14:25,,
cityofcharlack.com,,Local Government,Missouri,,,,6/6/13 18:08,,
cityofclarkston.com,,Local Government,,rejected term,Redirects to http://www.clarkstonga.gov/  -- Note added 9/19/13 19:47,,6/6/13 18:08,,
cityofclevelandtn.com,,Local Government,,rejected term,Redirects to http://www.clevelandtn.gov/  -- Note added 9/19/13 19:50,,6/6/13 18:08,,
cityofclovis.com,,Local Government,,,,,8/27/13 12:53,,
cityofcompton.org,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20020415000000*/http://cityofcompton.org  -- Note added 12/5/13 14:09,,12/5/13 14:05,,
cityofeagle.com,,Local Government,,,,,6/6/13 18:08,,
cityofeudora.com,,Local Government,,rejected term,"City of Eudora, KS -- Note added 6/6/13 18:09",,6/6/13 18:09,,
cityofeurekasprings.org,,Local Government,,,,,7/17/13 18:15,,
cityofevans.org,,Local Government,,rejected term,"City of Evans, CO -- Note added 12/6/13 13:52",,6/6/13 18:08,,
cityoffairmontwv.com,,Local Government,,rejected term,"Former city website. See historical snapshot at: http://web.archive.org/web/20120119015038/http://www.cityoffairmontwv.com/ New website is a .gov, http://fairmontwv.gov/.  -- Note added 11/10/15 12:04",,6/6/13 18:08,,
cityoffallon.org,,Local Government,,,,,11/10/15 17:20,,
cityoffrankfort.net,,Local Government,,rejected term,Redirects to http://frankfort-in.gov/  -- Note added 9/19/13 19:51,,6/6/13 18:08,,
cityofglenrose.com,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20111121222459/http://cityofglenrose.com/  -- Note added 12/6/13 11:59,,12/6/13 11:58,,
cityofgreenwood.org,,Local Government,,,,,8/26/13 18:43,,
cityofhamilton.org,,Local Government,,rejected term,Hamilton (AL) Area Chamber of Commerce. Redirects to hamiltonchamberofcommerce.org. The official city website is at hamiltoncityal.org. -- Note added 6/17/13 14:01,,6/6/13 18:08,,
cityofharrington.com,,Local Government,,rejected term,"City of Harrington, DE -- Note added 11/10/15 18:29",,6/6/13 18:08,,
cityofhawkpoint.viviti.com,,Local Government,,,,,7/31/13 14:08,,
cityofhawthorne.com,,Local Government,California,,,http://www.cityofhawthorne.org/,6/6/13 18:08,,
cityofhenderson.com,,Local Government,Nevada,,,,6/6/13 18:08,,
cityofhotspringssd.org,,Local Government,,Deprecated,Former city website. See historical snapshot at: http://web.archive.org/web/20130528104150/http://cityofhotspringssd.org/  -- Note added 1/22/14 15:08,,1/22/14 15:08,,
cityofhueytown.net,,Local Government,,rejected term,"Domain doesn't resolve. Official City of Hueytown, AL, website is http://hueytownal.org/ -- Note added 7/15/13 15:59",,7/15/13 15:59,,
cityofib.com,,Local Government,,rejected term,Redirects to http://www.imperialbeachca.gov/  -- Note added 9/19/13 19:52,,6/6/13 18:08,,
cityofindianola.com,,Local Government,,rejected term,"City of Indianola, IA -- Note added 11/18/13 16:01",,6/6/13 18:08,,
cityofindianwells.com,,Local Government,,,,,7/31/13 18:49,,
cityofjohnstown-ny.com,,Local Government,,rejected term,"City of Johnstown, NY -- Note added 12/6/13 13:51",,6/6/13 18:08,,
cityofkellogg.com,,Local Government,,rejected term,"City of Kellogg, ID -- Note added 7/5/13 18:43",,6/6/13 18:08,,
cityofknoxvilleia.com,,NA,Iowa,rejected term,"City of Knoxville, Iowa, chamber of commerce. nThe city's website is http://knoxvilleia.gov/  -- Note added 12/5/13 19:35",,6/6/13 18:08,,
